행정구역별(시군구),주택의 종류별,주택_계,2019년,2018년,2017년,2016년,2015년,2014년,2013년,2012년,2011년,2010년,2005~2009년,2000~2004년,1990~1999년,1980~1989 년,1979년 이전
전국,계,1517815,73121,53926,43218,36515,35635,36439,37671,37816,25785,21047,93568,169250,397185,170054,286585
전국,단독주택,334226,280,507,363,720,603,727,751,870,931,1116,5386,6733,23278,29770,262191
전국,아파트,835478,64450,38385,29777,24433,24727,25532,18865,16761,14181,15605,73363,103305,283937,89930,12227
전국,연립주택,75299,2901,3624,3331,2771,2610,1706,2296,2196,1238,485,2986,6048,16943,21771,4393
전국,다세대주택,249244,5296,11071,9310,8215,7376,8154,15499,17707,9162,3643,10442,50677,66307,23332,3053
전국,비거주용 건물내 주택,23568,194,339,437,376,319,320,260,282,273,198,1391,2487,6720,5251,4721
서울특별시,계,93402,1742,1720,1631,1184,1180,2124,2682,2623,2643,1456,6633,19147,24959,16357,7321
서울특별시,단독주택,3759,X,X,X,X,X,X,X,X,X,X,18,15,83,504,3129
서울특별시,아파트,43586,711,536,882,430,462,1170,974,877,1347,790,4508,8403,11862,8249,2385
서울특별시,연립주택,5843,X,11,X,29,8,126,96,142,92,14,150,645,2015,1953,554
서울특별시,다세대주택,38764,1024,1170,741,715,699,815,1597,1601,1196,649,1915,9988,10671,5212,771
서울특별시,비거주용 건물내 주택,1450,X,X,X,9,10,12,13,X,6,X,42,96,328,439,482
부산광역시,계,109651,4424,2217,1799,1636,2263,4179,5645,5730,4832,2128,6532,15489,20852,13648,18277
부산광역시,단독주택,14244,X,X,X,X,X,19,18,15,7,7,41,28,245,2524,11330
부산광역시,아파트,57232,3984,1722,1166,1035,1609,2713,2250,1352,1345,739,5014,7345,15467,7235,4256
부산광역시,연립주택,3784,152,23,X,8,6,36,69,83,39,34,92,167,674,1483,918
부산광역시,다세대주택,32706,284,463,624,584,629,1394,3300,4265,3432,1341,1339,7800,4064,1896,1291
부산광역시,비거주용 건물내 주택,1685,X,6,9,7,16,17,8,15,9,7,46,149,402,510,482
