"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각
"		108",서울,2019-01-01,-5,-0.6,15:25,-8.2,6:31
"		108",서울,2019-01-02,-4.9,0.2,14:58,-8.8,8:02
"		108",서울,2019-01-03,-3.5,3.2,14:36,-8.4,7:26
"		108",서울,2019-01-04,-1.1,4.1,15:04,-6.2,7:57
"		108",서울,2019-01-05,-2.8,1.1,15:21,-5.5,23:58
"		108",서울,2019-01-06,-2.8,2.7,15:12,-6.3,1:54
"		108",서울,2019-01-07,-1.9,3.1,14:36,-6.2,6:58
"		108",서울,2019-01-08,-3.5,0.5,15:07,-7.2,22:38
"		108",서울,2019-01-09,-4.7,1.3,15:25,-9.4,6:30
"		108",서울,2019-01-10,-0.6,3,12:22,-4.5,6:19
"		108",서울,2019-01-11,2.4,7.2,14:13,-0.4,8:02
"		108",서울,2019-01-12,2.8,8,14:37,-0.6,23:59
"		108",서울,2019-01-13,1.2,7.6,14:19,-3,6:05
"		108",서울,2019-01-14,1.4,5.3,14:52,-2.4,7:19
"		108",서울,2019-01-15,-1.7,2.6,14:56,-7.2,23:45
"		108",서울,2019-01-16,-5.2,-1.1,15:42,-10.1,7:24
"		108",서울,2019-01-17,-0.3,4,15:59,-3.2,7:31
"		108",서울,2019-01-18,0.6,6.7,14:41,-4.6,7:37
"		108",서울,2019-01-19,3.6,8.5,14:42,0,3:27
"		108",서울,2019-01-20,-1.4,4,0:01,-5.5,23:27
"		108",서울,2019-01-21,-1.2,4.2,16:12,-6.7,3:26
"		108",서울,2019-01-22,1.7,7.1,13:27,-3.3,7:06
"		108",서울,2019-01-23,2,7,15:57,-0.8,7:12
"		108",서울,2019-01-24,0.1,6.5,14:46,-4.6,8:06
"		108",서울,2019-01-25,-1.2,2.6,14:33,-3.8,8:25
"		108",서울,2019-01-26,-2.5,2.4,15:44,-6.5,8:16
"		108",서울,2019-01-27,-0.1,5.1,14:48,-6.6,7:49
"		108",서울,2019-01-28,1.2,4.5,15:23,-2.4,23:57
"		108",서울,2019-01-29,-0.2,7,15:08,-5.6,7:37
"		108",서울,2019-01-30,1.8,6.6,14:14,-2.8,7:46
"		108",서울,2019-01-31,-2,2.3,0:01,-6.2,23:55
"		108",서울,2019-02-01,-2.1,2.8,13:20,-7.4,3:33
"		108",서울,2019-02-02,1.4,6.1,16:43,-3.2,4:34
"		108",서울,2019-02-03,3.3,4.9,14:35,2,3:52
